questions,answer
  79+68,183 
  49+69,190 
  2+612,218 
 48+755,641 
   08+8,88  
   8+27,80  
   5+52,30  
 436+41,648 
  201+4,106 
  874+3,481 
  42+25,76  
   19+6,97  
   9+84,57  
  027+2,722 
   61+3,19  
   4+28,86  
    5+1,6   
391+013,503 
  21+68,98  
  038+4,834 
  8+357,761 
   65+2,58  
988+007,1589
  43+71,51  
 489+12,1005
   0+37,73  
  613+1,317 
692+716,913 
 51+113,326 
  55+24,97  
   38+1,84  
  27+07,142 
286+686,1368
 56+864,533 
  1+143,342 
   45+4,58  
 725+87,605 
  34+34,86  
894+339,1431
 59+712,312 
288+301,985 
  61+76,83  
 836+61,654 
   53+1,36  
  955+1,560 
   1+96,70  
  213+9,321 
 802+01,218 
   86+3,71  
   5+31,18  
 65+684,542 
   05+4,54  
  2+906,611 
412+414,628 
  92+02,49  
   0+49,94  
   8+87,86  
   9+09,99  
  56+77,142 
   1+47,75  
  264+3,465 
    3+1,4   
   74+9,56  
 54+035,575 
  84+45,102 
  02+54,65  
  603+4,310 
 562+77,342 
 92+693,425 
 13+531,166 
458+032,1084
   94+1,50  
 056+64,696 
754+034,887 
 38+765,650 
  016+1,611 
  4+045,544 
 771+93,216 
    1+7,8   
  45+48,138 
  447+8,752 
    6+9,15  
 46+521,189 
   27+4,76  
   8+34,51  
  176+7,678 
  85+24,100 
    8+8,16  
  52+73,62  
  6+184,487 
  55+58,140 
207+353,1055
   35+9,62  
001+781,287 
 743+65,403 
  7+404,411 
 719+46,981 
  368+9,872 
   78+0,87  
    9+9,18  
 331+09,223 
   76+1,68  
  6+746,653 
 686+08,766 
 47+988,963 
   3+25,55  
  57+78,162 
 511+31,128 
  231+0,132 
    5+2,7   
  358+1,854 
612+231,348 
 344+64,489 
  56+39,158 
   5+91,24  
  72+74,74  
 95+636,695 
   4+59,99  
211+035,642 
   04+8,48  
 61+848,864 
  9+491,203 
  058+6,856 
255+925,1081
  15+96,120 
  59+32,118 
  824+3,431 
906+547,1354
  643+8,354 
  2+037,732 
745+982,836 
 564+12,486 
  443+0,344 
 524+01,435 
  607+9,715 
  7+077,777 
   68+2,88  
 455+24,596 
   71+6,23  
705+874,985 
   3+09,93  
264+483,846 
  28+34,125 
   3+59,98  
042+791,437 
484+622,710 
   23+8,40  
   6+22,28  
628+099,1816
   08+6,86  
   0+01,10  
514+671,591 
239+207,1634
 999+07,1069
  072+3,273 
 63+338,869 
   0+68,86  
    4+4,8   
708+543,1152
  97+81,97  
   4+23,36  
   03+6,36  
  8+942,257 
   9+43,43  
 25+235,584 
  773+1,378 
 694+99,595 
  584+3,488 
  5+011,115 
  8+213,320 
  4+151,155 
    3+4,7   
  2+807,710 
   0+79,97  
  77+12,98  
 18+538,916 
   0+41,14  
   9+26,71  
  732+0,237 
 128+48,905 
  38+93,122 
 867+39,861 
   45+3,57  
 98+133,420 
  38+87,161 
  616+3,619 
  18+64,127 
722+049,1167
 22+165,583 
  5+304,408 
 02+897,818 
   04+5,45  
   2+02,22  
236+055,1182
    4+9,13  
   3+03,33  
553+768,1222
 24+984,531 
  399+5,998 
   72+3,30  
  46+29,156 
 57+008,875 
   94+3,52  
  95+52,84  
    2+0,2   
 23+163,393 
  48+78,171 
 99+203,401 
   1+09,91  
 807+85,766 
   3+78,90  
 04+387,823 
294+757,1249
   03+1,31  
  156+2,653 
   95+5,64  
 62+465,590 
 585+62,611 
 91+004,419 
  82+65,84  
 925+18,610 
526+088,1505
  581+2,187 
   53+9,44  
  63+59,131 
386+339,1616
   6+75,63  
  2+566,667 
  34+08,123 
  63+57,111 
  88+34,131 
 99+986,788 
 506+26,667 
 15+614,467 
577+618,1591
 63+155,587 
  997+9,808 
  405+0,504 
451+285,736 
  934+9,448 
 51+491,209 
  49+23,126 
  973+1,380 
  72+52,52  
 207+85,760 
  096+6,696 
  5+373,378 
 455+67,630 
  3+507,708 
   94+9,58  
   9+04,49  
  77+13,108 
  72+96,96  
   71+4,21  
  4+135,535 
  798+4,901 
   2+61,18  
 371+55,228 
   1+71,18  
   3+71,20  
  7+185,588 
 18+891,279 
613+079,1286
   47+5,79  
  284+3,485 
005+224,922 
  7+102,208 
  803+2,310 
 77+123,398 
202+719,1119
  953+0,359 
  62+53,61  
  798+3,900 
  96+13,100 
 01+686,696 
 173+51,386 
 363+51,378 
  25+47,126 
852+145,799 
   4+18,85  
 392+59,388 
  41+26,76  
627+225,1248
  7+101,108 
   65+3,59  
809+544,1353
  071+2,172 
  695+1,597 
  24+67,118 
   54+4,49  
   36+1,64  
  73+97,116 
   41+9,23  
  62+61,42  
 861+02,188 
   34+6,49  
   1+99,100 
   92+9,38  
 059+91,969 
  221+2,124 
   24+0,42  
976+699,1675
  742+6,253 
223+364,785 
 306+22,625 
   0+88,88  
 917+49,813 
  03+19,121 
142+575,816 
  551+8,163 
 28+201,184 
 757+46,821 
   9+54,54  
 683+15,437 
  36+88,151 
   6+35,59  
   48+5,89  
  1+338,834 
 316+34,656 
   31+3,16  
 922+03,259 
 899+65,1054
   02+3,23  
129+433,1255
 902+58,294 
756+398,1550
  1+024,421 
   51+8,23  
 18+097,871 
   3+28,85  
 341+41,157 
   0+34,43  
 78+906,696 
   19+4,95  
  23+18,113 
  47+96,143 
   2+85,60  
  33+74,80  
  469+8,972 
 074+14,511 
  179+6,977 
 277+23,804 
393+135,924 
   13+5,36  
  33+25,85  
   17+9,80  
  8+406,612 
  24+82,70  
798+607,1603
   89+6,104 
 389+82,1011
   3+16,64  
 76+299,1059
  8+594,503 
  7+326,630 
  6+222,228 
  086+7,687 
  8+931,147 
  06+78,147 
 731+32,160 
 55+537,790 
777+886,1465
  034+0,430 
 823+45,382 
  66+72,93  
 989+48,1073
621+619,1042
   46+1,65  
 42+554,479 
  3+906,612 
  83+34,81  
  09+38,173 
 45+852,312 
   79+3,100 
  7+876,685 
  42+77,101 
  56+68,151 
  424+2,426 
    3+9,12  
 97+167,840 
 462+36,327 
  461+9,173 
   39+6,99  
   6+96,75  
  76+36,130 
581+406,789 
   8+03,38  
  51+26,77  
  02+73,57  
194+466,1155
  894+1,499 
   58+8,93  
  4+618,820 
  3+253,355 
  648+2,848 
   34+4,47  
  0+095,590 
   3+23,35  
598+567,1660
 32+218,835 
  64+31,59  
124+412,635 
 24+028,862 
  5+205,507 
  55+76,122 
  49+31,107 
   4+56,69  
   2+64,48  
 39+691,289 
  138+1,832 
  34+91,62  
 12+599,1016
   24+4,46  
  5+127,726 
   8+97,87  
 484+01,494 
  7+052,257 
529+692,1221
   86+4,72  
 46+144,505 
  9+874,487 
   1+78,88  
 51+775,592 
 58+863,453 
453+385,937 
  065+7,567 
 414+69,510 
 468+47,938 
  831+3,141 
 28+118,893 
 053+64,396 
345+839,1481
  65+47,130 
  49+88,182 
  563+3,368 
 181+73,218 
 003+03,330 
   4+04,44  
  573+8,383 
  8+628,834 
051+939,1089
  442+9,253 
 004+76,467 
  5+329,928 
 29+784,579 
 86+568,933 
809+285,1490
  0+876,678 
  2+486,686 
 19+203,393 
  009+8,908 
  87+88,166 
624+084,906 
  5+216,617 
 206+86,670 
  58+04,125 
   04+6,46  
 631+11,147 
  22+81,40  
  99+35,152 
698+869,1864
  37+35,126 
817+262,980 
   01+6,16  
  26+22,84  
  6+591,201 
 33+374,506 
   55+7,62  
  2+256,654 
845+119,1459
164+305,964 
  5+535,540 
   8+44,52  
057+769,1717
    8+4,12  
 405+02,524 
 53+348,878 
  08+42,104 
 39+415,607 
 33+933,372 
  5+492,299 
 993+33,432 
  78+56,152 
  74+58,132 
   9+73,46  
 32+081,203 
  797+3,800 
  784+7,494 
  44+47,118 
  3+914,422 
 423+16,385 
 61+133,347 
  294+8,500 
 74+102,248 
 48+302,287 
  57+27,147 
  9+139,940 
  6+846,654 
 547+54,790 
 14+641,187 
  58+83,123 
   09+0,90  
 77+133,408 
  3+928,832 
   91+2,21  
   96+8,77  
186+299,1673
  18+67,157 
207+216,1314
   2+79,99  
 43+047,774 
 81+691,214 
  81+25,70  
   16+6,67  
 53+391,228 
 788+04,927 
   6+17,77  
   9+37,82  
063+866,1028
  313+6,319 
 526+76,692 
  873+5,383 
  346+8,651 
  975+0,579 
  7+239,939 
 38+114,494 
  5+813,323 
 46+014,474 
  985+6,595 
 34+214,455 
 71+193,408 
   8+05,58  
 214+44,456 
 964+12,490 
  2+873,380 
  5+927,734 
526+867,1393
   1+79,98  
  3+314,416 
   8+89,106 
 166+44,705 
 768+26,929 
753+082,637 
146+465,1205
  147+8,749 
   19+3,94  
   0+55,55  
  84+37,121 
  99+84,147 
  01+26,72  
 475+72,601 
    1+9,10  
  9+212,221 
   93+0,39  
 36+445,607 
  0+361,163 
 45+205,556 
  031+5,135 
  3+615,519 
   39+8,101 
   97+4,83  
   3+75,60  
   8+71,25  
  576+5,680 
   7+94,56  
  692+5,301 
 087+64,826 
  905+6,515 
 61+015,526 
  372+0,273 
 056+92,679 
 31+543,358 
 846+36,711 
   21+7,19  
251+792,449 
  0+102,201 
    8+6,14  
   9+89,107 
 028+98,909 
   59+5,100 
   1+33,34  
   0+92,29  
  073+1,371 
  93+04,79  
 96+529,994 
379+892,1271
 72+487,811 
  06+19,151 
 21+305,515 
   9+46,73  
 704+15,458 
051+585,735 
 64+942,295 
 206+79,699 
   2+19,93  
 85+958,917 
178+989,1860
   15+9,60  
   7+36,70  
 41+918,833 
   1+52,26  
  3+823,331 
  9+427,733 
   2+45,56  
  199+7,998 
 99+122,320 
  53+56,100 
 148+17,912 
   3+63,39  
 738+34,880 
  5+807,713 
 35+652,309 
 943+05,399 
  378+2,875 
   0+99,99  
  6+564,471 
  89+39,191 
  6+697,802 
    4+6,10  
    3+3,6   
  83+79,135 
  451+0,154 
 736+24,679 
 39+638,929 
  47+06,134 
  8+026,628 
553+296,1047
  117+2,713 
   2+67,78  
   4+14,45  
 67+156,727 
  4+507,709 
  6+758,863 
  966+9,678 
  056+8,658 
  9+757,766 
  969+2,971 
  611+6,122 
   7+85,65  
  81+42,42  
  87+06,138 
   14+1,42  
   8+38,91  
 61+954,475 
 805+99,607 
 24+478,916 
  7+695,603 
  095+2,592 
  97+53,114 
155+919,1470
 35+214,465 
 565+52,590 
  83+45,92  
  63+18,117 
 99+753,456 
   3+64,49  
  984+3,492 
   82+4,32  
604+673,782 
  24+72,69  
  0+073,370 
   6+24,48  
 336+99,732 
  6+606,612 
   8+76,75  
  08+84,128 
613+191,507 
 73+226,659 
  304+0,403 
  27+25,124 
   0+98,89  
  877+6,784 
  7+204,409 
018+634,1246
   03+7,37  
   91+1,20  
  64+14,87  
  44+71,61  
  7+385,590 
  66+65,122 
 54+796,742 
  058+8,858 
 985+79,686 
  985+8,597 
 559+97,1034
 727+22,749 
  23+25,84  
   39+4,97  
  141+5,146 
  53+14,76  
519+954,1374
982+491,483 
  849+5,953 
  096+1,691 
691+642,442 
 067+36,823 
   1+32,24  
  06+97,139 
  722+2,229 
 35+389,1036
  62+11,37  
 609+42,930 
  98+69,185 
 974+42,503 
   14+6,47  
 16+887,849 
   44+4,48  
 795+72,624 
   42+3,27  
646+512,861 
357+027,1473
205+014,912 
  85+23,90  
  37+05,123 
  196+8,699 
   9+65,65  
  723+2,329 
607+627,1432
   1+17,72  
  8+296,700 
  82+42,52  
  762+9,276 
  16+93,100 
  727+6,733 
  6+836,644 
 08+695,676 
  318+4,817 
  3+836,641 
  892+0,298 
881+824,616 
   44+2,46  
  089+1,981 
  027+1,721 
   77+7,84  
  4+834,442 
 94+159,1000
  23+06,92  
   58+9,94  
  0+417,714 
 573+28,457 
   3+98,92  
  73+49,131 
  517+4,719 
   4+53,39  
  523+4,329 
 369+53,998 
 29+993,491 
 95+098,949 
  7+221,129 
  588+7,892 
201+838,940 
  02+39,113 
 451+21,166 
  334+2,435 
   52+3,28  
  04+13,71  
   4+79,101 
  495+3,597 
953+591,554 
  1+519,916 
   7+51,22  
   76+4,71  
  0+939,939 
  9+262,271 
  8+998,907 
 26+772,339 
  34+74,90  
   5+62,31  
   7+83,45  
  2+452,256 
   2+97,81  
  313+2,315 
  21+64,58  
  5+651,161 
093+543,735 
   2+74,49  
 821+53,163 
 86+844,516 
167+982,1050
   3+24,45  
486+658,1540
   54+2,47  
  952+0,259 
  61+67,92  
786+499,1681
  196+3,694 
 178+52,896 
   21+1,13  
 44+224,466 
  305+9,512 
  22+34,65  
 27+516,687 
   78+5,92  
  215+5,517 
053+874,828 
 109+55,956 
 43+307,737 
 758+15,908 
  147+4,745 
 951+59,254 
   27+0,72  
   8+77,85  
 65+726,683 
  1+999,1000
393+259,1345
 21+534,447 
   5+66,71  
   0+22,22  
535+036,1165
   2+98,91  
 784+47,561 
 201+29,194 
617+042,956 
 63+931,175 
  809+0,908 
146+547,1386
  633+3,339 
 196+71,708 
   1+58,86  
 613+25,368 
   68+7,93  
  1+759,958 
  025+6,526 
 616+53,651 
  082+7,287 
 409+41,918 
198+553,1246
  04+54,85  
   88+8,96  
   9+97,88  
 48+667,850 
   69+8,104 
  187+2,783 
  083+7,387 
  3+565,568 
  4+786,691 
  3+579,978 
 48+817,802 
  6+114,417 
  02+85,78  
044+044,880 
  112+8,219 
  2+633,338 
 512+54,260 
 556+88,743 
 008+78,887 
  149+0,941 
283+518,1197
  3+904,412 
 72+777,804 
   28+7,89  
 45+671,230 
  2+614,418 
737+249,1679
   35+5,58  
  4+994,503 
 91+797,816 
   5+11,16  
  54+05,95  
604+929,1335
  6+903,315 
   69+2,98  
  5+794,502 
  141+7,148 
   81+2,20  
   5+82,33  
  3+621,129 
  86+02,88  
  26+25,114 
   48+8,92  
 749+16,1008
 98+234,521 
  67+32,99  
 51+082,295 
   8+95,67  
 53+481,219 
   2+82,30  
 92+034,459 
742+096,937 
   9+66,75  
  18+99,180 
  4+956,663 
 13+472,305 
   0+64,46  
 81+661,184 
  3+118,814 
 879+08,1058
  943+4,353 
   2+75,59  
  9+991,208 
   9+72,36  
   3+77,80  
 959+94,1008
 919+38,1002
  063+8,368 
 12+249,963 
   1+05,51  
 42+523,349 
  56+85,123 
  87+96,147 
 902+94,258 
  36+63,99  
   5+42,29  
223+548,1167
  717+3,720 
  88+55,143 
  03+57,105 
   86+8,76  
  304+2,405 
   13+1,32  
  875+8,586 
 97+647,825 
   9+39,102 
 45+327,777 
  6+238,838 
  321+9,132 
  82+78,115 
  46+12,85  
  35+06,113 
 43+297,826 
 25+335,585 
  2+859,960 
  78+13,118 
   67+0,76  
617+881,904 
   77+0,77  
  49+05,144 
   36+0,63  
  6+825,534 
  8+936,647 
 54+208,847 
 06+241,202 
575+823,903 
   96+9,78  
  6+183,387 
  191+8,199 
 41+665,580 
  169+4,965 
   8+13,39  
  1+119,912 
 06+246,702 
  0+218,812 
198+604,1297
 886+01,698 
  9+109,910 
  64+81,64  
  21+49,106 
  4+991,203 
166+658,1517
  655+6,562 
  67+53,111 
  068+4,864 
  6+262,268 
  152+1,252 
 802+65,264 
 09+865,658 
   33+0,33  
093+374,863 
 15+862,319 
077+348,1613
 171+99,270 
 252+21,264 
  5+256,657 
  9+778,886 
   8+31,21  
 217+33,745 
  545+8,553 
   5+27,77  
   11+6,17  
  31+42,37  
  84+61,64  
   9+91,28  
 84+371,221 
 63+849,984 
   5+15,56  
  653+2,358 
   0+81,18  
 36+835,601 
  2+702,209 
321+519,1038
  99+58,184 
   4+03,34  
498+211,1006
 79+395,690 
727+363,1090
   0+48,84  
  314+1,414 
  52+85,83  
  232+8,240 
 756+47,731 
145+442,785 
 88+832,326 
 609+27,978 
  3+254,455 
  918+8,827 
   84+8,56  
  4+309,907 
972+226,901 
   82+7,35  
   01+9,19  
   07+7,77  
  041+1,141 
127+662,987 
 805+76,575 
    2+8,10  
  314+2,415 
  97+91,98  
379+049,1913
089+734,1417
   6+69,102 
557+736,1392
   62+6,32  
  4+911,123 
   3+17,74  
587+265,1347
 39+364,556 
  724+8,435 
  6+361,169 
 123+16,382 
 885+22,610 
  0+845,548 
 61+144,457 
 72+088,907 
  94+81,67  
  2+168,863 
  413+3,317 
  5+587,790 
 63+673,412 
311+642,359 
 504+58,490 
   75+5,62  
 15+471,225 
 784+85,545 
 292+53,327 
  45+93,93  
  89+24,140 
141+261,303 
014+672,686 
   41+2,16  
702+316,820 
 59+844,543 
  681+6,192 
939+702,1146
  235+4,536 
  37+88,161 
 87+102,279 
  862+1,269 
   3+04,43  
  4+901,113 
  94+46,113 
   02+8,28  
 475+01,584 
  01+05,60  
994+677,1275
   89+1,99  
  514+8,423 
  65+96,125 
 845+68,634 
   35+1,54  
  56+07,135 
  31+32,36  
 626+48,710 
  16+87,139 
  74+02,67  
   6+59,101 
   63+0,36  
  7+632,243 
   74+5,52  
 934+59,534 
  587+6,791 
  464+2,466 
  8+533,343 
 72+239,959 
 756+97,736 
932+984,728 
 501+45,159 
 997+73,836 
  814+4,422 
  049+1,941 
 307+06,763 
  9+101,110 
087+013,1090
  8+391,201 
   0+04,40  
   4+32,27  
  8+383,391 
   3+47,77  
  109+6,907 
 39+226,715 
  02+75,77  
   02+4,24  
 087+16,841 
  5+157,756 
305+167,1264
 03+259,982 
 01+835,548 
  98+65,145 
  6+121,127 
 721+09,217 
  3+262,265 
  54+73,82  
   48+6,90  
 416+38,697 
 72+499,1021
  4+231,136 
  893+9,407 
231+185,713 
 529+85,983 
 746+63,683 
  178+7,878 
069+126,1581
  84+63,84  
  002+1,201 
  2+687,788 
   84+5,53  
 84+818,866 
  448+8,852 
  1+431,135 
  697+8,804 
  7+892,305 
  45+42,78  
  5+305,508 
091+747,937 
 41+814,432 
 27+219,984 
  792+9,306 
  6+947,755 
  2+086,682 
   02+1,21  
  5+896,703 
 987+92,818 
 211+29,204 
  4+449,948 
   3+97,82  
   61+9,25  
   32+8,31  
  573+1,376 
  003+2,302 
  82+96,97  
  93+63,75  
 32+555,578 
259+507,1657
   99+4,103 
   8+55,63  
 238+09,922 
  743+0,347 
  4+509,909 
  771+0,177 
 052+86,318 
  434+2,436 
 34+262,305 
   72+4,31  
  5+474,479 
   18+0,81  
   43+8,42  
 844+77,525 
  2+046,642 
 302+25,255 
 16+032,291 
 91+726,646 
  793+2,399 
  113+4,315 
 94+964,518 
  07+19,161 
  08+74,127 
 273+88,460 
  5+067,765 
  9+515,524 
 891+79,295 
  6+967,775 
  023+8,328 
 222+53,257 
396+176,1364
  45+37,127 
  0+408,804 
  539+8,943 
  9+624,435 
 81+778,895 
  34+53,78  
   92+5,34  
  3+163,364 
  805+7,515 
 858+21,870 
  231+2,134 
 91+254,471 
   88+3,91  
  07+58,155 
  029+8,928 
 284+22,504 
  387+9,792 
  04+74,87  
  65+54,101 
 424+01,434 
 04+252,292 
065+144,1001
   42+7,31  
 228+75,879 
   1+83,39  
 882+57,363 
  69+89,194 
  6+193,397 
 898+64,944 
   41+8,22  
 334+59,528 
 53+014,445 
  011+3,113 
 18+746,728 
  8+228,830 
   4+21,16  
  05+34,93  
  67+57,151 
  2+374,475 
  52+58,110 
826+876,1306
 637+36,799 
 847+46,812 
   5+38,88  
   7+73,44  
  41+59,109 
  2+604,408 
  963+5,374 
   3+76,70  
 02+575,595 
  02+22,42  
 92+148,870 
   02+0,20  
 56+527,790 
  59+58,180 
 493+81,412 
   6+92,35  
239+961,1101
  4+393,397 
   6+21,18  
 21+438,846 
 379+46,1037
  24+79,139 
  96+48,153 
  154+6,457 
 01+568,875 
  14+87,119 
   85+8,66  
  509+2,907 
   4+17,75  
 819+41,932 
 994+75,556 
373+033,703 
 47+376,747 
  12+66,87  
 16+491,255 
   56+9,74  
 264+24,504 
 29+107,793 
  7+106,608 
   0+35,53  
   1+31,14  
   27+1,73  
  0+328,823 
721+481,311 
   33+8,41  
 89+335,631 
 842+55,303 
  19+21,103 
657+705,1263
   8+11,19  
 879+73,1015
  337+7,740 
909+636,1545
 208+59,897 
  7+563,372 
  382+0,283 
  44+15,95  
  297+8,800 
  505+8,513 
675+854,1034
  263+1,363 
 427+39,817 
  558+1,856 
 039+07,1000
 61+222,238 
  8+227,730 
  085+3,583 
  66+59,161 
 19+144,532 
  56+82,93  
  0+514,415 
   1+65,57  
   67+7,83  
865+891,766 
   46+8,72  
  8+813,326 
 514+31,428 
   25+0,52  
  409+9,913 
  73+31,50  
167+961,930 
 863+82,396 
189+702,1188
938+663,1205
 67+717,793 
 79+201,199 
  321+3,126 
   5+71,22  
   3+12,24  
  0+411,114 
   1+34,44  
  472+6,280 
  485+4,588 
  196+5,696 
  868+9,877 
 771+91,196 
 53+884,523 
 09+311,203 
   16+5,66  
  282+7,289 
  26+07,132 
 53+542,280 
  235+7,539 
